,time,user,tweet
54,2022-07-30 21:32:20+00:00,atiku,"His Majesty is an accomplished administrator of repute, entrepreneur, philanthropist, statesman and all-around sportsman."
55,2022-07-30 21:32:19+00:00,atiku,"HRH Alfred Papapreye Diete-Spiff, OFR, Amanyanabo of Twon-Brass Kingdom, is a man of many parts and firsts: Diver, Aviator, Mediator, Arbitrator and Peace Builder. https://t.co/dcFM7k2usE"
56,2022-07-30 16:52:56+00:00,atiku,"With your joining us, it is becoming evident that our message of One People with One Future and One Country is resonating. -AA"
57,2022-07-30 16:52:51+00:00,atiku,"Welcome to the @OfficialPDPNig, the party that truly embodies the associations of the Nigeria of our dreams. Your courage, conviction and kind words are well appreciated. https://t.co/YAU55Vw5LP https://t.co/GiLLOIfdz4"
58,2022-07-30 13:33:30+00:00,atiku,"On behalf of my family, I join friends and well-wishers to celebrate my brother, Governor Darius Ishaku of Taraba State, as he turns 68 today. May God Almighty grant you more years in good health and service to the benefit of the good people of Taraba State and humanity. -AA https://t.co/kHa9rYGaUI"
59,2022-07-30 10:57:47+00:00,atiku,I urge all Nigerians to remember the current challenges facing our country and the need for us to intensify prayers for peace and prosperity to return to our beloved country. -AA
60,2022-07-30 10:57:46+00:00,atiku,This Islamic new year is a sign from the Almighty Allah that our diversity is an opportunity for unity. I will thus urge all Muslims and people of other faiths to work assiduously towards promoting unity and mutual respect in all our undertakings.
61,2022-07-30 10:57:45+00:00,atiku,"I felicitate with the Muslim community in Nigeria and across the world on the occasion of the new Islamic New Year of Hijra 1444.

I wish to remind that the Hijra of the Holy Prophet Muhammed (PBUH) embodies many lessons of patience, tolerance and self-sacrifice."
62,2022-07-29 11:16:11+00:00,atiku,Your election at our nation's crossroads presents you with a unique opportunity of forging interfaith relations. Be assured of my hand of fellowship in the promotion of much-needed unity to spur socio-economic and political progress in our country. -AA
63,2022-07-29 11:16:10+00:00,atiku,"I wish to congratulate Archbishop Daniel Okoh, the General Superintendent of Christ Holy Church (Odozi-Obodo), on his election as President of the Christian Association of Nigeria (CAN)."
64,2022-07-28 18:04:08+00:00,atiku,Our discussions focused on how we can deepen Nigeria-South Africa bilateral relations as a rallying point to engendering robust Intra Africa relations and thereby building the blocks of the continent's unity. -AA
65,2022-07-28 18:04:07+00:00,atiku,"Earlier today, I played host to His Excellency, Thamsanqa Dennis Mseleku, the South African High Commissioner to Nigeria. https://t.co/r5o6QrEbAb"
66,2022-07-27 10:07:32+00:00,atiku,It was a fruitful meeting that focused on the unity of our party ahead of the 2023 election. -AA
67,2022-07-27 10:07:30+00:00,atiku,"Last night, my Vice Presidential candidate @IAOkowa and @OfficialPDPNig National Chairman, Dr Iyorchia Ayu and I met with the PDP Senate Caucus led by Senate Minority Leader, Sen. Philip Aduda. https://t.co/PsKWIp45kW"
68,2022-07-26 20:36:05+00:00,atiku,"In the agricultural sector, we shall elevate irrigation to a top policy priority and support both small holder and commercial farmers to cultivate at least 10% of the potential irrigable land-(currently only 2% is under cultivation). -AA"
69,2022-07-26 20:36:04+00:00,atiku,"This is to support private sector investments in infrastructure and to prioritize support to agriculture, manufacturing and the MSMEs across all the economic sectors, as they offer the greatest opportunities for achieving inclusive growth."
70,2022-07-26 20:36:03+00:00,atiku,"Also, by fighting insecurity. Investment is a coward animal and fears conflicts and insecurity.
 
Secondly, within the first 100 days in office, we shall unveil an Economic Stimulus Fund with an initial investment capacity of approximately US$10 billion."
71,2022-07-26 20:36:02+00:00,atiku,"First, we will restore investor confidence in our economy so that they take risk and invest capital especially in the non-oil sector.  This we can achieve by being more consistent and coherent in our economic policies (policy flip-flops sends investors away)."
72,2022-07-26 20:36:02+00:00,atiku,"Larger volume of non-oil exports will earn more foreign exchange for Nigeria, improve our foreign reserves, and help in stabilizing the Naira. All of these will contribute to growth in GDP.

What will I do?"
73,2022-07-26 20:36:01+00:00,atiku,"Dear @AbuammarUp, 

To grow the economy (raise GDP), export more, and stabilise the Naira are all interrelated. Stimulating exports requires a coherent and investor-friendly foreign exchange policy that improves the global competitiveness of domestic enterprises. https://t.co/3jrT50YAsv"
74,2022-07-25 09:57:24+00:00,atiku,"Hearty congratulations to Ese Brume, having won another medal for Nigeria in the women’s long jump at the World Athletics Championship in Eugene, Oregon. Another victory for Nigeria at the #WorldAthleticsChamps. -AA"
75,2022-07-25 07:49:00+00:00,atiku,"All hail Nigeria's Tobi Amusan, the record-breaking women's 100m hurdles champion. I am particularly proud of this feat, and it underscores my plan to refocus investments in sports, and creative sectors, amongst others. #WorldAthleticsChamps -AA"
76,2022-07-23 10:53:06+00:00,atiku,• Take steps to improve its spending efficiency and drastically cut unnecessary and wasteful expenditures. -AA
77,2022-07-23 10:53:06+00:00,atiku,• Review the country’s debt strategy by focusing on concessional and semi-concessional sources with lower interest rates and relatively long-term maturity. The government must reduce the issuance of short-dated debt instruments;
78,2022-07-23 10:53:05+00:00,atiku,"Specifically, government must ensure that all borrowed funds are for priority infrastructure projects that would generate income, boost output, and put the economy on the path of sustainable growth;"
79,2022-07-23 10:53:05+00:00,atiku,• Review the current utilization of all borrowed funds and ensure that they are deployed more judiciously.
80,2022-07-23 10:53:04+00:00,atiku,"I urge the government to as a matter of urgency do the following:

• Take immediate steps to slow down the rate of debt accumulation by promoting more Public Private Partnerships in critical infrastructure funding and identifying more innovative funding options;"
81,2022-07-23 10:53:03+00:00,atiku,This is certainly detrimental to Nigeria’s long-term growth.
82,2022-07-23 10:53:03+00:00,atiku,"I had on several occasions warned that not only is the fiscal cost of government’s indiscriminate borrowing so enormous but has even greater opportunity costs as we sacrifice investments in critical areas, including education, health, and other basic services."
83,2022-07-23 10:53:02+00:00,atiku,"Indeed, I am concerned that this action is already exposing Nigeria to financial stability issues as we slip from a medium risk of debt distress to high risk of debt distress."
84,2022-07-23 10:53:01+00:00,atiku,"First, this action must be in breach of all known reasonable debt-sustainability thresholds. Second, it puts a big question mark on the capacity of the government to manage its rising debt profile without endangering macroeconomic stability."
85,2022-07-23 10:53:01+00:00,atiku,Thursday’s revelation by Nigeria’s Finance Minister that the cost of servicing Nigeria’s debt has surpassed the Federal Government’s retained revenue by N310 billion in the first quarter of the year is very worrisome.
86,2022-07-22 16:25:17+00:00,atiku,Finding solutions to the many challenges facing the various aspects of our society requires some level of engagement by non-state actors. -AA
87,2022-07-22 16:25:15+00:00,atiku,"I will suggest pushing the frontiers further with an inclusion of the Adamawa Peace Initiative, which has done phenomenal work on the concern of women empowerment and inter-faith dialogue in Adamawa and its environs."
88,2022-07-22 16:25:14+00:00,atiku,I commend the @USAIDNigeria for undertaking an intervention that seeks to empower women in the Northeast region. https://t.co/P3S60DvM6F
89,2022-07-21 07:49:47+00:00,atiku,RT @OneNigeria2023: https://t.co/A4DQe9vlCD
90,2022-07-20 20:14:41+00:00,atiku,"In addition, I’ll cause the creation of an Infrastructure Development Credit Guarantee Agency to complement the operation of the IDF by de-risking investments in infrastructure to build investor confidence in taking risks and investing capital. -AA"
91,2022-07-20 20:14:41+00:00,atiku,The IDF will have an initial investment capacity of approximately US$20 billion.
92,2022-07-20 20:14:40+00:00,atiku,across all the sectors of the economy.
93,2022-07-20 20:14:39+00:00,atiku,"I’ll promote the incentivisation, with tax breaks, a consortium of private sector institutions to establish an Infrastructure Debt Fund (IDF) to primarily mobilise domestic and international private resources for the financing and delivery of large infrastructure projects"
94,2022-07-20 20:14:38+00:00,atiku,"to promote private investment in power, among other sectors."
95,2022-07-20 20:14:37+00:00,atiku,"Due to the priority that I place on the power sector upon which the successes of other sectors are hinged, I am proposing innovative financing of infrastructure that will involve the facilitation of a review of the financial, legal, and regulatory environment"
96,2022-07-20 20:14:36+00:00,atiku,I am reliably informed that there was a total National Grid Collapse at precisely 12:23pm today. This is one collapse too many. It is the 6th time this is happening this year alone.
97,2022-07-20 17:30:31+00:00,atiku,"It is gladdening to receive Admiral Murtala Nyako, former governor of Adamawa State, at my residence today on a courtesy visit. It was refreshing having a useful conversation with him about critical national issues. Thanks for the visit, sir. -AA https://t.co/uiJrUXyGwG"
98,2022-07-20 11:42:48+00:00,atiku,"I hope I'll have the opportunity to complete the process of turning the NNPC into a genuinely world-class company in the mould of NLNG, Aramco of Saudi Arabia and Petrobras of Brazil, where Nigerians and institutions will invest in. -AA"
99,2022-07-20 11:42:47+00:00,atiku,"But today, I am happy to note that the same government has taken a tentative step along the lines of the suggestions that I had made. It is a step in the right direction, but we are still far from what I had envisaged."
100,2022-07-20 11:42:47+00:00,atiku,"I had in 2018 made public my plans to reform the NNPC to make it more profitable, transparent and efficient. The APC-led government denigrated me for my patriotic vision."
101,2022-07-19 08:25:57+00:00,atiku,"On behalf of my family, I wish my good friend, presidential candidate of the LP, and former Governor of Anambra State, @PeterObi, a memorable 61st birthday celebration. I wish you many more years in good health and vitality. -AA https://t.co/v8n2DKDYkF"
102,2022-07-19 07:42:31+00:00,atiku,"I wish him a successful tenure, and I pray for wisdom and forthrightness for him to carry on with his new assignment. -AA"
103,2022-07-19 07:42:31+00:00,atiku,"I am even more pleased that Mr Maikyau has been an active participant in Bar activities and activism, and it is not in doubt that his experience will come to bear in upping the bar for lawyers in the country."
104,2022-07-19 07:42:30+00:00,atiku,"I am pleased to rejoice with all members of the Nigerian Bar Association on the emergence of Yakubu Maikyau, SAN, as the new President of the NBA. https://t.co/tQoF4FrHuW"
105,2022-07-18 18:30:37+00:00,atiku,"Dear Vice President Yemi Osinbajo, @ProfOsinbajo, my family and I wish you speedy and complete healing from your surgery. We can't wait to see you up and about and in the service of our dear country. -AA"
106,2022-07-18 17:49:44+00:00,atiku,"I had, in the course of our robust discussion, proposed the enveloping of ballots to stem vote buying. I want to especially thank them for taking an interest in Nigeria. -AA"
107,2022-07-18 17:49:44+00:00,atiku,"We had valuable discussions that border on mutual benefits in strengthening democracy, integrity of the electoral system and, especially, protecting the rule of law."
108,2022-07-18 17:49:43+00:00,atiku,"I just ended a meeting with the joint team of the International Republican Institute, @IRIglobal, and the National Democratic Institute, @NDI, led by Mr. Frank LaRose—Secretary of State of the state of Ohio, USA. https://t.co/EdGOg5Kbon"
109,2022-07-17 06:28:14+00:00,atiku,"Most importantly, congratulations to the great people of Osun State for proving that power indeed belongs to the people. -AA #OsunDecides #ImoleOsun"
110,2022-07-17 06:28:13+00:00,atiku,"Light has come to Osun. Congratulations, Sen. @AAdeleke_01, on a well-fought victory. Also, hearty congratulations to the @OfficialPDPNig family and all stakeholders who came together to make this possible. https://t.co/351DHsmY6C"
111,2022-07-15 20:16:11+00:00,atiku,"Earlier today, I received in audience, a delegation of the @EUinNigeria, led by Ambassador Samuela Isopi, @SamuelaIsopiEU, at my residence, in Abuja. We had fruitful discussions. -AA https://t.co/WyhXsW9ggN"
112,2022-07-15 15:39:09+00:00,atiku,"By the way, such a skill that can also help you with a side hustle. -AA
#WYSD2022"
113,2022-07-15 15:39:08+00:00,atiku,"On this World Youth Skills Day, I wish to impress on our young people the need to learn a skill that puts you at an advantage to get a good-paying job and the opportunity to set up your business and be your own boss."
